,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date,total_injuries
19936,20001213X25661,Incident,DCA88IA056,1988-05-02,"NR TOKYO, Japan",Japan,,,NRT,TOKYO-NARITA,Incident,Minor,Airplane,N157UA,boeing,747-123,No,4.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,0.0,0.0,258.0,VMC,Cruise,Probable Cause,02-02-2016,0.0
21810,20001213X27446,Accident,LAX89LA068,1988-12-23,"Midway Islands, PO",United States,38.54,-173.24,NONE,,Non-Fatal,Unknown,Airplane,N146UA,boeing,747SP-21,No,4.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,1.0,1.0,220.0,UNK,Cruise,Probable Cause,02-02-2016,2.0
41053,20001208X07896,Accident,DCA97WA047A,1997-05-14,"LONDON, United Kingdom",United Kingdom,,,,HEATHROW INTERNATIONAL,Non-Fatal,Minor,Airplane,,boeing,747-400,No,4.0,Turbo Fan,Part 129: Foreign,SCHD,Unknown,,0.0,0.0,0.0,573.0,VMC,Unknown,Foreign,,0.0
41659,20001208X08606,Accident,DCA97MA058,1997-08-06,"NIMITZ HILL, GU",United States,,,KGUM,AGANA INTERNATIONAL AIRPO,Fatal(228),Destroyed,Airplane,H7468,boeing,747-300,No,4.0,Turbo Fan,Part 129: Foreign,SCHD,Unknown,,228.0,26.0,0.0,0.0,IMC,Approach,Probable Cause,23-10-2009,254.0
46685,20001212X20472,Accident,DCA00MA026,2000-02-16,"RANCHO CORDOVA, CA",United States,,,MHR,Sacramento Mather Airport,Fatal(3),Destroyed,Airplane,N8079U,douglas,DC-8-71F,No,4.0,Turbo Fan,Part 121: Air Carrier,NSCH,,,3.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,29-09-2009,3.0
47057,20001212X20797,Incident,DEN00IA080,2000-04-30,"DENVER, CO",United States,,,,,Incident,Unknown,Airplane,CFBAO,british,BAE 146-200,No,4.0,Turbo Fan,Part 129: Foreign,SCHD,,"Air Bc, Ltd.",0.0,0.0,0.0,20.0,IMC,Cruise,Probable Cause,04-12-2014,0.0
50583,20090625X31711,Incident,DCA02RA024,2002-03-01,"Sydney, Australia",Australia,,,SDY,Sydney,Incident,Minor,Airplane,,boeing,747,No,4.0,Turbo Fan,"Non-U.S., Commercial",SCHD,,,0.0,0.0,0.0,0.0,,Unknown,Foreign,07-07-2009,0.0
52409,20090526X02836,Incident,ENG03WA007,2003-02-13,"Okinawa, Japan",Japan,,,OKA,Okinawa,Incident,Unknown,Airplane,,boeing,747,No,4.0,Turbo Fan,"Non-U.S., Commercial",SCHD,,,0.0,0.0,0.0,0.0,,Unknown,Foreign,10-06-2009,0.0
57202,20050921X01501,Accident,DCA05MA095,2005-08-19,"AGANA, GU",United States,,,GUM,Guam-Antonio B. Won Pat,Non-Fatal,Substantial,Airplane,N627US,boeing,747-200,No,4.0,Turbo Fan,Part 121: Air Carrier,SCHD,,,0.0,0.0,2.0,338.0,VMC,Landing,Probable Cause,30-12-2008,2.0
59471,20061227X01849,Incident,MIA07IA031,2006-12-26,"Miami, FL",United States,25.793333,-80.290555,KMIA,Miami International,Incident,Unknown,Airplane,G-BNLM,boeing,747-436,No,4.0,Turbo Fan,Part 129: Foreign,SCHD,,,0.0,0.0,0.0,368.0,VMC,Taxi,Probable Cause,03-03-2009,0.0
61147,20121004X53806,Incident,ERA13IA006,2007-11-09,,Unknown,46.573056,-37.768334,,,Incident,Unknown,Airplane,N42RF,lockheed,WP-3D,No,4.0,Turbo Prop,Public Use,,Public Aircraft - Federal,,0.0,0.0,0.0,6.0,IMC,Maneuvering,Probable Cause,30-05-2013,0.0
62532,20080912X01438,Incident,NYC08IA290,2008-08-26,"Bogota, Colombia",Colombia,044259N,0074923W,SKBO,El Dorado International,Non-Fatal,Unknown,Airplane,N715CK,boeing,747-209B,No,4.0,Turbo Fan,121,NSCH,,KALITTA FLYING SERVICE INC,0.0,0.0,0.0,5.0,VMC,Unknown,"The combination of fan blade edge contour, variable blade trim, and the high altitude, which resulted in an engine surge.",25-09-2020,0.0
62580,20080905X01397,Accident,SEA08GA194,2008-09-02,"Reno, NV",United States,394141N,1195416W,RTS,Reno/Stead Airport,Fatal,Destroyed,Airplane,N4235T,lockheed,P2V-7,No,4.0,Turbo Jet,PUBU,NSCH,Firefighting,Neptune Aviation Services Inc.,3.0,0.0,0.0,0.0,VMC,Unknown,"The failure of the flight crew to maintain airspeed above in-flight minimum control speed (Vmca) after losing power in the left jet engine during initial climb after takeoff. Contributing to the accident was the crew's inadequate cockpit resource management procedures, the failure of the captain to assume command of the airplane during the emergency, the flight crew's failure to carry out the jet engine fire emergency procedure, and the failure of the crew to jettison the retardant load.",25-09-2020,3.0
63022,20090102X60836,Accident,CEN09LA114,2008-12-23,"Rockford, IL",United States,421155N,0008961W,RFD,Rockford International,Non-Fatal,Substantial,Airplane,N486EV,boeing,747-212B,No,4.0,Turbo Fan,121,NSCH,,EVERGREEN INTERNATIONAL AIRLINES INC,0.0,0.0,0.0,3.0,VMC,Unknown,The ground crew's failure to maintain clearance from the light pole while directing the airplane to parking.,25-09-2020,0.0
63577,20090518X75604,Incident,ENG09WA005,2009-05-11,"Johannesburg, South Africa",South Africa,,,FAJS,Tambo International Airport,,Unknown,Airplane,G-BYGA,boeing,747-436,No,4.0,Turbo Fan,NUSC,SCHD,,British Airways,0.0,0.0,0.0,0.0,,Unknown,,03-11-2020,0.0
64808,20100219X11249,Incident,ENG10IA016,2010-01-07,"Cincinnati (CVG), OH",United States,039449N,0084422W,CVG,Cincinnati International Airpo,Non-Fatal,Minor,Airplane,N803DH,douglas,DC8,No,4.0,Turbo Fan,121,SCHD,,ASTAR AIR CARGO INC,0.0,0.0,0.0,0.0,,Unknown,Failure of the NLG cylinder occurred by intergranular rupture; coincidental to a chrome plating crack. The failure origin occurred along the inner surface of the cylinder and then propagated by stress corrosion cracking to the outer surface. A secondary crack with the same features as the primary crack was found diagonal to the primary crack. Both cracks initiated by intergranular cracking due to grinding burns caused by abusive grinding and propagated by stress corrosion cracking. Hydrogen embrittlement did not contribute to the intergranular cracking.,25-09-2020,0.0
64933,20100222X84927,Accident,DCA10CA032,2010-02-19,"Anchorage, AK",United States,611028N,1495947W,,,Non-Fatal,Minor,Airplane,N173UA,boeing,747,No,4.0,Turbo Fan,121,SCHD,,UNITED AIR LINES INC,0.0,25.0,1.0,236.0,Unk,Unknown,an inadvertent encounter with clear air turbulence.,25-09-2020,26.0
65256,20100507X64708,Incident,DCA10WA055,2010-05-04,"Seoul, South Korea",South Korea,,,ICN,Incheon,Non-Fatal,Minor,Airplane,N749SA,boeing,747-300 SERIES,No,4.0,Turbo Jet,121,NSCH,,SOUTHERN AIR INC,0.0,0.0,0.0,3.0,VMC,Unknown,,03-11-2020,0.0
65270,20100507X70356,Incident,DCA10WA056,2010-05-07,"Sydney, Australia",Australia,,,SYD,"Sydney, Australia",Non-Fatal,Minor,Airplane,N128UA,boeing,747-422,No,4.0,Turbo Fan,121,SCHD,,UNITED AIR LINES INC,0.0,0.0,0.0,246.0,VMC,Unknown,,03-11-2020,0.0
65318,20100520X02527,Accident,DCA10CA061,2010-05-17,"Miami, FL",United States,254743N,0801724W,MIA,Miami International Airport,Non-Fatal,Substantial,Airplane,N498MC,boeing,747,No,4.0,Turbo Fan,121,NSCH,,ATLAS AIR INC,0.0,0.0,0.0,3.0,VMC,Unknown,impact of the fore flap with the aft fuselage after fatigue failure of the right wing fore flap carriage assembly attachment fitting at position 6.,25-09-2020,0.0
65463,20100617X11958,Incident,ENG10WA036,2010-06-11,"Tokyo, Japan, Japan",Japan,,,NRT,Narita/New Tokyo International,,Unknown,Airplane,JA01KZ,boeing,747-481F,No,4.0,Turbo Fan,NUSC,SCHD,,Nippon Cargo Airlines,0.0,0.0,0.0,0.0,,Unknown,,03-11-2020,0.0
66900,20110412X23201,Accident,DCA11LA045,2011-04-12,"Jamaica, NY",United States,403821N,0734722W,JFK,John F Kennedy IAP,Non-Fatal,Substantial,Airplane,F-HPJD,airbus,A380,No,4.0,Turbo Fan,129,SCHD,,Air France,0.0,0.0,0.0,576.0,VMC,Unknown,"the A380 flight crew's inability to identify that the wingtip path of their airplane would not maintain safe clearance from the CRJ701. Contributing to the accident was the failure of the CRJ701 flight crew to advise ATC that they were stopped with a portion of their airplane still extending onto the taxiway.",14-06-2021,0.0
67001,20110531X40711,Incident,ENG11WA031,2011-05-05,"Lahore, Pakistan",Pakistan,,,LHE,Lahore International,Non-Fatal,Unknown,Airplane,HZ-AIR,boeing,747,No,4.0,Turbo Fan,NUSC,SCHD,,SAUDI ARABIAN AIRLINES CORP,0.0,0.0,0.0,18.0,,Unknown,,03-11-2020,0.0
67066,20110519X02343,Accident,DCA11PA075,2011-05-19,"Point Mugu, CA",United States,034622N,0119751W,KNTD,Naval Base Ventura County,Non-Fatal,Substantial,Airplane,N707AR,boeing,707-321B,No,4.0,Turbo Fan,PUBU,,Public Aircraft,"Omega Aerial Refueling Services, Inc.",0.0,3.0,0.0,0.0,VMC,Unknown,"the failure of a midspar fitting, which was susceptible to fatigue cracking and should have been replaced with a newer, more fatigue-resistant version of the fitting as required by an airworthiness directive. Also causal was an erroneous maintenance entry made by a previous aircraft owner, which incorrectly reflected that the newer fitting had been installed.",25-09-2020,3.0
67509,20110817X70753,Incident,ENG11WA044,2011-07-26,"Liege, Belium, Belgium",Belgium,,,LGG,Liege Airport,,Unknown,Airplane,4X-ICO,boeing,747-230F,No,4.0,Turbo Fan,NUSC,SCHD,,C.A.L. Cargo Airlines,0.0,0.0,0.0,0.0,,Unknown,,03-11-2020,0.0
67527,20110730X60307,Accident,DCA11FA091,2011-07-29,"Tangshan, China",China,,,,,Non-Fatal,Unknown,Airplane,N173UA,boeing,747-422,No,4.0,Turbo Fan,121,SCHD,,United Airlines,0.0,4.0,1.0,380.0,VMC,Unknown,an inadvertent encounter with convectively induced turbulence likely due to radar limitations and convective weather developing upwards into the flight path.,13-09-2021,5.0
67809,20110912X61152,Accident,ANC11CA101,2011-09-10,"Yakota, Japan",Japan,002100N,0127150E,,,Non-Fatal,Unknown,Airplane,N71CX,douglas,DC-8-62F,No,4.0,Turbo Jet,121,NSCH,,Air Transport International LLC,0.0,0.0,1.0,36.0,IMC,Unknown,"The passenger's decision to ignore the fasten seatbelt sign, resulting in serious injury to the passenger during a turbulence encounter.",25-09-2020,1.0
68015,20111024X74546,Incident,ENG12IA003,2011-10-23,"Detroit, MI",United States,422059N,0083336W,DTW,Detroit International Airport,Non-Fatal,Minor,Airplane,N661US,boeing,747-451,No,4.0,Turbo Jet,121,SCHD,,DELTA AIR LINES INC,0.0,0.0,0.0,394.0,,Unknown,"The penetration of turbine blade fragments through the rear turbine case, which punctured the No. 4 bearing oil pressure supply tube, allowing misted oil to contact the hot engine case and ignite the undercowl fire.

Contributing to the incident was the installation of approved (but not preferred) stage 3 low pressure turbine outer transition duct segments with the riveted rear seal configuration and the failure of the engine design to comply with the engine debris containment requirements of 14 Code of Federal Regulations 33.13 and 33.75.",25-09-2020,0.0
68305,20120203X61713,Accident,DCA12CA033,2012-02-02,"Anchorage, AK",United States,611024N,0149590W,,,Non-Fatal,Unknown,Airplane,RA82046,antonov,AN124,No,4.0,Turbo Fan,129,NSCH,,Volga-Dnepr,0.0,0.0,2.0,4.0,VMC,Unknown,an inadvertent encounter with Clear Air Turbulence that resulted in serious injuries to two crewmembers.,25-09-2020,2.0
68827,20120530X64155,Accident,DCA12CA082,2012-05-30,"Chicago, IL",United States,415824N,0875412W,ORD,Chicago OHare International,Non-Fatal,Minor,Airplane,B16481,boeing,747,No,4.0,Turbo Fan,129,SCHD,,EVA AIRWAYS CORP,0.0,0.0,0.0,24.0,VMC,Unknown,the 747 flight crew's failure to maintain a safe clearance with the EMB-135 that was stopped on a taxiway.,25-09-2020,0.0
68842,20120603X74920,Accident,WPR12GA243,2012-06-03,"Modena, UT",United States,038653N,0114214W,KCDC,Cedar City Regional Airport,Fatal,Substantial,Airplane,N14447,lockheed,P2V-7,No,4.0,Turbo Jet,PUBU,,Public Aircraft - Federal,NEPTUNE AVIATION SERVICES INC,2.0,0.0,0.0,0.0,VMC,Unknown,"The flight crew's misjudgment of terrain clearance while maneuvering for an aerial application run, which resulted in controlled flight into terrain. Contributing to the accident was the flight crew's failure to follow the lead airplane's track and to effectively compensate for the tailwind condition while maneuvering.",25-09-2020,2.0
69493,20120913X10433,Incident,DCA12WA144,2012-09-09,"Melbourne, Australia",Australia,,,,,,Unknown,Airplane,N409MC,boeing,747-47UF,No,4.0,Turbo Jet,121,NSCH,,ATLAS AIR INC,0.0,0.0,0.0,0.0,,Unknown,,03-11-2020,0.0
69948,20130118X53100,Accident,DCA13LA039,2013-01-17,"Miami, FL",United States,254725N,0801630W,MIA,Miami Intl,Non-Fatal,Minor,Airplane,LV-BMT,airbus,A340 - 300,No,4.0,Turbo Fan,129,SCHD,,Aerolineas Argentinas S.A.,0.0,0.0,0.0,397.0,VMC,Unknown,"LV-BMT flight crew's incorrect evaluation of the clearance between the two aircraft, leading to the inadvertent collision of the left winglet with the horizontal stabilizer and elevator of F-GNZI. Contributing to the accident were the incorrect instructions given by the Miami Gates controller to the LV-BMT flight crew.",25-09-2020,0.0
70044,20130220X51849,Accident,WPR13LA131,2013-02-19,"Pacific Ocean, UN",UN,201341N,1391211W,SFO,San Francisco International Ai,Non-Fatal,Unknown,Airplane,N174UA,boeing,747-422,No,4.0,Turbo Fan,121,SCHD,,United Airlines,0.0,0.0,1.0,220.0,VMC,Unknown,"The flights encounter with moderate clear air turbulence while en route, which resulted in a serious injury to a flight attendant. Contributing to the accident was the lack of communication equipment in the rest compartment, which, if installed, could have alerted the cabin crewmembers that the seatbelt sign was on. ",25-09-2020,1.0
70063,20130227X80547,Incident,ENG13IA016,2013-02-25,"Dallas, TX",United States,032547N,0097231W,,,Non-Fatal,Minor,Airplane,B18701,boeing,747,No,4.0,Turbo Fan,129,SCHD,,China Airlines,0.0,0.0,0.0,3.0,Unk,Unknown,"Fuel leaking from a fractured fuel manifold feeder line that ignited on contact with the engines hot compressor rear frame, which resulted in an engine undercowl fire. The fuel manifold feeder line failed due to high amplitude fatigue because the fuel manifold resonance frequencies were within the engine operation range. Contributing to the incident was that the engine was overhauled about the same time as the most current fuel manifold configuration that addressed the high amplitude fatigue failure mode was introduced, thus it was not installed on the engine.",14-06-2021,0.0
70248,20130424X15731,Incident,DCA13WA080,2013-04-22,"Melbourne, Australia",Australia,,,,,Non-Fatal,Minor,Airplane,N119UA,boeing,747-400,No,4.0,Turbo Fan,,,,,0.0,0.0,0.0,146.0,,Unknown,<br /><br />,03-11-2020,0.0
70282,20130429X12734,Accident,DCA13MA081,2013-04-29,"Bagram, Afghanistan",Afghanistan,345647N,0691554E,OAIX,Bagram Air Base,Fatal,Destroyed,Airplane,N949CA,boeing,747-400 BCF,No,4.0,Turbo Jet,121,NSCH,,National Air Cargo,7.0,0.0,0.0,0.0,VMC,Unknown,"National Airlines' inadequate procedures for restraining special cargo loads, which resulted in the loadmaster's improper restraint of the cargo, which moved aft and damaged hydraulic systems Nos. 1 and 2 and horizontal stabilizer drive mechanism components, rendering the airplane uncontrollable. Contributing to the accident was the Federal Aviation Administration's inadequate oversight of National Airlines' handling of special cargo loads.",14-06-2021,7.0
70384,20130524X83830,Incident,ENG13IA027,2013-05-19,"Atlanta, GA",United States,333827N,0842540W,ATL,HARTSFIELD - JACKSON ATLANTA I,Non-Fatal,Minor,Airplane,B18701,boeing,747,No,4.0,Turbo Fan,129,SCHD,,China Airlines Ltd.,0.0,0.0,0.0,3.0,VMC,Unknown,Failure of the right inboard foreflap outboard fitting due to fatigue and bearing anomalies on the sequence carriages which resulted in the partial separation of the right inboard foreflap. Contributing to the incident was the failure of maintenance personnel to detect the fatigue cracking and bearing anomalies during dedicated inspections.,25-09-2020,0.0
71126,20131126X01052,Incident,ENG14WA003,2013-10-24,"Norwich, Norfolk, UK, United Kingdom",United Kingdom,524033N,0011658E,,,Non-Fatal,Minor,Airplane,WITHHELD,bae,AVRO 146-RJ85,No,4.0,Turbo Fan,,,,CityJet,0.0,0.0,0.0,1.0,,Unknown,<br /><br />,03-11-2020,0.0
71196,20131122X05100,Incident,DCA14IA016,2013-11-22,"Wichita, KS",United States,374451N,0971316W,AAO,Colonel James Jabara Airport,Non-Fatal,Unknown,Airplane,N780BA,boeing,747 - 409LCF,No,4.0,Turbo Jet,121,NSCH,,"Atlas Air , Inc.",0.0,0.0,0.0,2.0,VMC,Unknown,the flight crew's failure to properly identify the airport and runway of intended landing. Contributing to the incident was the flight crew's failure to follow company procedures for crosschecking navigational information and visual cues to verify the airport and runway of intended landing.,25-09-2020,0.0
71601,20140522X83340,Incident,ENG14RA014,2014-04-29,"Perth, Australia, Australia",Australia,,,PER,Perth,,Minor,Airplane,VH-NJI,bae,AVRO146RJ - 100,No,4.0,Turbo Fan,,SCHD,,National Jet Express,0.0,0.0,0.0,0.0,,Unknown,<br /><br />,03-11-2020,0.0
72299,20140922X14716,Incident,ENG14IA027,2014-09-21,"Atlanta, GA",United States,343813N,0842541W,ATL,HARTSFIELD - JACKSON ATLANTA I,Non-Fatal,Unknown,Airplane,N669US,boeing,747,No,4.0,Turbo Fan,121,SCHD,,Delta Air Lines,0.0,0.0,0.0,333.0,VMC,Unknown,"

Turbine Overhaul Service's aggressive grit blasting and incomplete masking of the blade root neck that allowed the no grit blast area being exposed during the overhaul of the blade resulting in blasting media being embedded in the blade root from which a fatigue crack developed.  The fatigue crack propagated until separation of the blade occurred that resulted in a complete loss of engine power.  The fire was caused by the B-nut on the hydraulic line from the fuel pump and pulsation damper loosening from engine vibration after the compressor blade separated spraying high pressure fluid into the engine compartment that ignited on the hot engine cases.",25-09-2020,0.0
72400,20141029X71059,Incident,DCA15WA015,2014-10-22,"Frankfurt, Germany",Germany,,,,,,Minor,Airplane,N120UA,boeing,747 422,No,4.0,Turbo Fan,,,,United Airlines,0.0,0.0,0.0,0.0,,Unknown,,25-09-2020,0.0
73408,20150922X00108,Incident,DCA15WA189,2015-08-16,"London, United Kingdom",United Kingdom,,,,,,Unknown,Airplane,D-AMGL,british,BAe 146-200,No,4.0,Turbo Fan,,,,WDL Aviation,0.0,0.0,0.0,0.0,,Unknown,,25-09-2020,0.0
73619,20151005X35533,Incident,ENG16IA001,2015-10-02,"Russian airspace, Japan",Japan,551259N,0160635E,,,Non-Fatal,Minor,Airplane,N662US,boeing,747,No,4.0,Turbo Fan,121,SCHD,,Delta Air Lines,0.0,0.0,0.0,367.0,Unk,Unknown,The PW4056 engine experienced an in-flight loss of power because of damage to the low-pressure turbine (LPT) because of the inadequate overhaul inspection and repair instructions that existed at the time of the LPT module's last overhaul.  A vane hook in the LPT case wore to the point to allow a 3rd stage turbine vane cluster to disengage and eventually fall into the path of the 3rd stage turbine blades causing extensive downstream damage to the LPT module.,25-09-2020,0.0
73993,20160222X93713,Accident,DCA16LA096,2016-02-12,"Iliamna, AK",United States,594511N,1545446W,,,Non-Fatal,Substantial,Airplane,N401LC,lockheed,382G,No,4.0,Turbo Prop,121,NSCH,,Lynden Air Cargo,0.0,0.0,0.0,5.0,VMC,Unknown,The fatigue failure of the forward pressure bulkhead canted web that originated from stress corrosion cracking areas. Contributing to the failure were inspection procedures and intervals inadequate to identify the crack.,25-09-2020,0.0
74527,20160701X62525,Accident,DCA16CA197,2016-06-28,"Yuma, AZ",United States,003360N,0114240W,None,Site 8 YPG,,Substantial,Airplane,N565AQ,facebook,AQUILA,No,4.0,Electric,091,,Flight Test,"Facebook, Inc.",0.0,0.0,0.0,0.0,VMC,Unknown,a structural failure of the wing as a result of exceeding the airspeed envelope due to wind gusts which were beyond the capabilities of the autopilot.  Contributing to the accident was an insufficient amount of drag to track the glideslope in the presence of atmospheric disturbances.,25-09-2020,0.0
75809,20170607X22245,Incident,ENG17IA026,2017-06-07,"Tokyo, Japan",Japan,354619N,1402334E,,,Non-Fatal,Unknown,Airplane,N668US,boeing,747 451,No,4.0,Turbo Fan,121,SCHD,,Delta Air Lines,0.0,0.0,0.0,326.0,Unk,Unknown,The PW4056 engine lost power due to the fatigue fracture of a 5th stage compressor blade.  The cause of the fatigue fracture could not be determined.,25-09-2020,0.0
76229,20170829X95905,Accident,ENG17WA034,2017-08-26,"Delhi, India",India,028347N,0077644E,,,Non-Fatal,Substantial,Airplane,ER-BAT,boeing,747,No,4.0,Turbo Fan,,,,,0.0,0.0,0.0,6.0,,Unknown,,25-09-2020,0.0
76498,20171114X30932,Incident,ENG18RA004,2017-11-08,"Johannesburg, South Africa",South Africa,,,,,,Minor,Airplane,ZS-ASW,british,AVRO  146,No,4.0,Turbo Fan,NUSC,SCHD,,South African Airlink,0.0,0.0,0.0,0.0,,Unknown,,25-09-2020,0.0
76895,20180403X83025,Incident,ENG18WA021,2018-03-29,"Chek Lap Kok, Hong Kong",Hong Kong,,,,,Non-Fatal,Unknown,Airplane,JA18KZ,boeing,747,No,4.0,Turbo Fan,NUSC,SCHD,,,0.0,0.0,0.0,5.0,,Unknown,,25-09-2020,0.0
81889,20220520105109,Accident,WPR22LA183,2022-05-14,"Winters, CA",United States,383559N,1215847W,,,Non-Fatal,Substantial,Airplane,N605PK,pyka,PELICAN,No,4.0,Electric,091,,Personal,PYKA INC,0.0,0.0,0.0,0.0,VMC,Unknown,"Delamination of the uncrewed aircraft systems right wing skin surfaces from the wing spar that resulted in a spin and impact with terrain.",12-08-2022,0.0
