,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date,total_injuries
64481,20091005X53525,Incident,ENG09RA019,2009-10-02,"Kuching, Malaysia",Malaysia,,,WBGG,Kuching International Airport,Non-Fatal,Minor,Airplane,9M-MMR,boeing,737,No,2.0,Turbo Fan,UNK,SCHD,,MALAYSIAN AIRLINES SYSTEM BERHAD,0.0,0.0,0.0,149.0,,Unknown,,03-11-2020,0.0
64933,20100222X84927,Accident,DCA10CA032,2010-02-19,"Anchorage, AK",United States,611028N,1495947W,,,Non-Fatal,Minor,Airplane,N173UA,boeing,747,No,4.0,Turbo Fan,121,SCHD,,UNITED AIR LINES INC,0.0,25.0,1.0,236.0,Unk,Unknown,an inadvertent encounter with clear air turbulence.,25-09-2020,26.0
65171,20100414X90838,Accident,DCA10WA051,2010-04-13,"Manokwari, Indonesia",Indonesia,,,,"Rendani, Manokwari",,Substantial,Airplane,PK-MDE,boeing,737,No,2.0,Turbo Fan,NUSC,SCHD,,Merpati Airlines,0.0,0.0,0.0,0.0,IMC,Unknown,,03-11-2020,0.0
65318,20100520X02527,Accident,DCA10CA061,2010-05-17,"Miami, FL",United States,254743N,0801724W,MIA,Miami International Airport,Non-Fatal,Substantial,Airplane,N498MC,boeing,747,No,4.0,Turbo Fan,121,NSCH,,ATLAS AIR INC,0.0,0.0,0.0,3.0,VMC,Unknown,impact of the fore flap with the aft fuselage after fatigue failure of the right wing fore flap carriage assembly attachment fitting at position 6.,25-09-2020,0.0
65517,20100714X63624,Accident,DCA10CA075,2010-06-19,"New York, NY",United States,040390N,0073470W,KJFK,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N3730B,boeing,737,No,2.0,Turbo Fan,121,SCHD,,"Delta Air Lines, Inc.",0.0,0.0,0.0,5.0,VMC,Unknown,a baggage cart impacting the airplane and causing substantial damage as a result of the jet blast from a passing airplane.,25-09-2020,0.0
65889,20100816X82039,Accident,DCA10RA085,2010-08-16,"San Andres Island, Colombia",Colombia,,,SKSP,San Andreas Island,Fatal,Substantial,Airplane,HK-4682,boeing,737,No,2.0,Turbo Fan,NUSC,SCHD,,Aires,1.0,67.0,17.0,42.0,,Unknown,,03-11-2020,85.0
66284,20101031X30917,Accident,ERA11LA044,2010-10-29,"Fort Lauderdale, FL",United States,026422N,0080910W,KFLL,Fort Lauderdale/Hollywood Int,Non-Fatal,Substantial,Airplane,C-FWAQ,boeing,737,No,2.0,Turbo Fan,129,SCHD,,WestJet,0.0,0.0,0.0,142.0,VMC,Unknown,"The ground service vehicle driver's depressing of the accelerator rather than the brake pedal, resulting in a collision with the airplane.",25-09-2020,0.0
66476,20110105X33913,Incident,ENG11IA011,2010-12-25,"San Francisco, CA",United States,374647N,0122259W,SFO,San Franciso,Non-Fatal,Unknown,Airplane,N248WN,boeing,737,No,2.0,Turbo Fan,121,SCHD,,Southwest Airlines,0.0,0.0,0.0,122.0,,Unknown,"The probable cause of the undercowl in-flight engine fire was the insufficient installation torque of the bolts that secure the fuel manifold cover to the fuel manifold.  Engine vibrations and fuel pressure cycles caused the bolts to gradually loosen further until one bolt lost all its tightening torque and fell out. The internal fuel pressure then forced open the fuel manifold cover at the location of the missing bolt, causing a gap between the two mating surfaces which allowed fuel to push past the integral packing, resulting in a fuel leak onto the hot engine cases where it ignited resulting in a fire.",25-09-2020,0.0
66831,20110401X24330,Accident,DCA11MA039,2011-04-01,"Yuma, AZ",United States,323924N,1143621W,NYL,Yuma International Airport,Non-Fatal,Substantial,Airplane,N632SW,boeing,737,No,2.0,Turbo Fan,121,SCHD,,SOUTHWEST AIRLINES CO,0.0,2.0,0.0,120.0,VMC,Unknown,"the improper installation of the fuselage crown skin panel at the S-4L lap joint during the manufacturing process, which resulted in multiple site damage fatigue cracking and eventual failure of the lower skin panel. Contributing to the injuries was flight attendant A's incorrect assessment of his time of useful consciousness, which led to his failure to follow procedures requiring immediate donning of an oxygen mask when cabin pressure is lost.",25-09-2020,2.0
67001,20110531X40711,Incident,ENG11WA031,2011-05-05,"Lahore, Pakistan",Pakistan,,,LHE,Lahore International,Non-Fatal,Unknown,Airplane,HZ-AIR,boeing,747,No,4.0,Turbo Fan,NUSC,SCHD,,SAUDI ARABIAN AIRLINES CORP,0.0,0.0,0.0,18.0,,Unknown,,03-11-2020,0.0
67958,20120731X03739,Incident,ENG12RA028,2011-10-10,"Antalya, Turkey",Turkey,,,LTAI,"Antalya, Turkey",,Minor,Airplane,TC-SKF,boeing,737,No,2.0,Turbo Fan,129,NSCH,,Sky Airlines,0.0,0.0,0.0,0.0,,Unknown,,25-09-2020,0.0
68205,20111222X45448,Accident,DCA12WA022,2011-12-20,"Yogyakarta, Indonesia",Indonesia,,,WIII,Yogyakarta,Non-Fatal,Substantial,Airplane,PK-CKM,boeing,737,No,2.0,Turbo Fan,NUSC,SCHD,,,0.0,0.0,0.0,133.0,,Unknown,,25-09-2020,0.0
68827,20120530X64155,Accident,DCA12CA082,2012-05-30,"Chicago, IL",United States,415824N,0875412W,ORD,Chicago OHare International,Non-Fatal,Minor,Airplane,B16481,boeing,747,No,4.0,Turbo Fan,129,SCHD,,EVA AIRWAYS CORP,0.0,0.0,0.0,24.0,VMC,Unknown,the 747 flight crew's failure to maintain a safe clearance with the EMB-135 that was stopped on a taxiway.,25-09-2020,0.0
70063,20130227X80547,Incident,ENG13IA016,2013-02-25,"Dallas, TX",United States,032547N,0097231W,,,Non-Fatal,Minor,Airplane,B18701,boeing,747,No,4.0,Turbo Fan,129,SCHD,,China Airlines,0.0,0.0,0.0,3.0,Unk,Unknown,"Fuel leaking from a fractured fuel manifold feeder line that ignited on contact with the engines hot compressor rear frame, which resulted in an engine undercowl fire. The fuel manifold feeder line failed due to high amplitude fatigue because the fuel manifold resonance frequencies were within the engine operation range. Contributing to the incident was that the engine was overhauled about the same time as the most current fuel manifold configuration that addressed the high amplitude fatigue failure mode was introduced, thus it was not installed on the engine.",14-06-2021,0.0
70335,20130517X14847,Accident,DCA13CA091,2013-05-09,"Dallas, TX",United States,325348N,0097213W,DFW,Dallas-Fort Worth,Non-Fatal,Unknown,Airplane,N327NW,airbus,320,No,2.0,Turbo Fan,121,SCHD,,Delta Air Lines,0.0,0.0,1.0,119.0,VMC,Unknown,The flight attendant's inadvertent trip over the jumpseat that had not retracted automatically.,25-09-2020,1.0
70384,20130524X83830,Incident,ENG13IA027,2013-05-19,"Atlanta, GA",United States,333827N,0842540W,ATL,HARTSFIELD - JACKSON ATLANTA I,Non-Fatal,Minor,Airplane,B18701,boeing,747,No,4.0,Turbo Fan,129,SCHD,,China Airlines Ltd.,0.0,0.0,0.0,3.0,VMC,Unknown,Failure of the right inboard foreflap outboard fitting due to fatigue and bearing anomalies on the sequence carriages which resulted in the partial separation of the right inboard foreflap. Contributing to the incident was the failure of maintenance personnel to detect the fatigue cracking and bearing anomalies during dedicated inspections.,25-09-2020,0.0
71289,20140109X32656,Accident,DCA14CA034,2014-01-04,"Las Vegas, NV",United States,036448N,0011598W,LAS,MC CARRAN INTL,Non-Fatal,Substantial,Airplane,N8327A,boeing,737,No,2.0,Turbo Fan,121,SCHD,,SOUTHWEST AIRLINES CO,0.0,0.0,0.0,180.0,VMC,Unknown,the captain's over rotation during the bounced landing.,25-09-2020,0.0
71386,20140212X03156,Accident,DCA14LA060,2014-02-17,"Kaycee, WY",United States,434320N,1065751W,,,Non-Fatal,Unknown,Airplane,N23708,boeing,737,No,2.0,Turbo Fan,121,SCHD,,Continental Airlines,0.0,10.0,2.0,107.0,Unk,Unknown,an encounter with severe mountain wave turbulence during cruise flight.,13-09-2021,12.0
72299,20140922X14716,Incident,ENG14IA027,2014-09-21,"Atlanta, GA",United States,343813N,0842541W,ATL,HARTSFIELD - JACKSON ATLANTA I,Non-Fatal,Unknown,Airplane,N669US,boeing,747,No,4.0,Turbo Fan,121,SCHD,,Delta Air Lines,0.0,0.0,0.0,333.0,VMC,Unknown,"

Turbine Overhaul Service's aggressive grit blasting and incomplete masking of the blade root neck that allowed the no grit blast area being exposed during the overhaul of the blade resulting in blasting media being embedded in the blade root from which a fatigue crack developed.  The fatigue crack propagated until separation of the blade occurred that resulted in a complete loss of engine power.  The fire was caused by the B-nut on the hydraulic line from the fuel pump and pulsation damper loosening from engine vibration after the compressor blade separated spraying high pressure fluid into the engine compartment that ignited on the hot engine cases.",25-09-2020,0.0
73341,20150805X75232,Incident,CEN15IA337,2015-08-05,"Denver, CO",United States,395142N,1044023W,KDEN,Denver International Airport,Non-Fatal,Minor,Airplane,N779SW,boeing,737,No,2.0,Turbo Fan,121,SCHD,,Southwest Airlines,0.0,0.0,0.0,148.0,VMC,Unknown,"The gate lead/pushback driver's failure to recognize that the provisioning truck was within the safety zone of the gate during his walkaround due to distractions, which resulted in the subsequent collision between the airplane and the truck. Contributing to the collision was the provisioning truck driver's failure to recognize he was parked in the safety zone of an active gate adjacent to his assigned gate, and the guide agent's improper assumption that the safety zone was properly cleared by the gate lead/pushback driver.",25-09-2020,0.0
73619,20151005X35533,Incident,ENG16IA001,2015-10-02,"Russian airspace, Japan",Japan,551259N,0160635E,,,Non-Fatal,Minor,Airplane,N662US,boeing,747,No,4.0,Turbo Fan,121,SCHD,,Delta Air Lines,0.0,0.0,0.0,367.0,Unk,Unknown,The PW4056 engine experienced an in-flight loss of power because of damage to the low-pressure turbine (LPT) because of the inadequate overhaul inspection and repair instructions that existed at the time of the LPT module's last overhaul.  A vane hook in the LPT case wore to the point to allow a 3rd stage turbine vane cluster to disengage and eventually fall into the path of the 3rd stage turbine blades causing extensive downstream damage to the LPT module.,25-09-2020,0.0
73864,20151223X30310,Incident,DCA16IA036,2015-12-19,"Seattle, WA",United States,472749N,1221848W,SEA,SEATTLE-TACOMA INTL,Non-Fatal,Unknown,Airplane,N477AS,boeing,737,No,2.0,Turbo Fan,121,SCHD,,ALASKA AIRLINES INC,0.0,0.0,0.0,153.0,VMC,Unknown,the flight crew's misidentification of the taxiway as the landing runway.,25-09-2020,0.0
74007,20160218X94149,Accident,DCA16CA094,2016-02-17,"Detroit, MI",United States,421227N,0083217W,DTW,DETROIT METROPOLITAN WAYNE COU,Non-Fatal,Minor,Airplane,N925NN,boeing,737,No,2.0,Turbo Fan,121,SCHD,,American Airlines,0.0,0.0,0.0,155.0,VMC,Unknown,"N925NN flight crew's incorrect evaluation of the clearance between the two aircraft, leading to the inadvertent collision of the winglet with the horizontal stabilizer and elevator of N784SW.",25-09-2020,0.0
74022,20160225X34423,Incident,DCA16WA101,2016-02-24,"a Mitad de la Pista del Aeropuerto, Mexico",Mexico,,,,,Non-Fatal,Unknown,Airplane,C-FIWJ,boeing,737,No,2.0,Turbo Fan,NUSC,SCHD,,Westjet,0.0,0.0,0.0,100.0,,Unknown,,25-09-2020,0.0
76229,20170829X95905,Accident,ENG17WA034,2017-08-26,"Delhi, India",India,028347N,0077644E,,,Non-Fatal,Substantial,Airplane,ER-BAT,boeing,747,No,4.0,Turbo Fan,,,,,0.0,0.0,0.0,6.0,,Unknown,,25-09-2020,0.0
76716,20180205X00724,Incident,ENG18WA010,2018-01-25,"Lima, Peru",Peru,124413S,0755729W,,,Non-Fatal,Unknown,Airplane,OB-2140P,boeing,737,No,2.0,Turbo Fan,NUSC,SCHD,,Peruvian Air Lines,0.0,0.0,0.0,99.0,,Unknown,,25-09-2020,0.0
76895,20180403X83025,Incident,ENG18WA021,2018-03-29,"Chek Lap Kok, Hong Kong",Hong Kong,,,,,Non-Fatal,Unknown,Airplane,JA18KZ,boeing,747,No,4.0,Turbo Fan,NUSC,SCHD,,,0.0,0.0,0.0,5.0,,Unknown,,25-09-2020,0.0
77485,20180806X53930,Incident,DCA18WA258,2018-08-01,"Pardubice, Czech Republic",Czech Republic,,,,,,Unknown,Airplane,N624XA,boeing,737,No,2.0,Turbo Fan,135,,,Swift Air,0.0,0.0,0.0,0.0,,Unknown,,25-09-2020,0.0
77570,20180904X20845,Incident,DCA18WA280,2018-08-18,"Los Cabos, Mexico",Mexico,,,,,,Unknown,Airplane,N337PJ,boeing,737,No,2.0,Turbo Fan,121,SCHD,,American Airlines,0.0,0.0,0.0,0.0,,Unknown,,25-09-2020,0.0
77582,20180904X15812,Incident,DCA18WA279,2018-08-20,"Guadalajara, Mexico",Mexico,,,,,,Unknown,Airplane,N520AM,boeing,737,No,2.0,Turbo Fan,NUSC,SCHD,,Aeromexico,0.0,0.0,0.0,0.0,,Unknown,,25-09-2020,0.0
77798,20181012X11804,Accident,DCA19CA006,2018-10-11,"San Jose, CA",United States,037200N,0121540W,,,Non-Fatal,Unknown,Airplane,N734SA,boeing,737,No,2.0,Turbo Fan,121,SCHD,,SOUTHWEST AIRLINES CO,0.0,0.0,1.0,121.0,VMC,Unknown,,,1.0
77965,20181206X45642,Incident,DCA19IA036,2018-12-06,"Burbank, CA",United States,341124N,1181727W,,,Non-Fatal,Unknown,Airplane,N752SW,boeing,737,No,2.0,Turbo Fan,121,SCHD,,Southwest Airlines,0.0,0.0,0.0,117.0,,Unknown,,25-09-2020,0.0
78116,20190306X80709,Accident,DCA19CA091,2019-02-18,"Franklin, TN",United States,035545N,0865726W,,,Non-Fatal,Unknown,Airplane,N3730B,boeing,737,No,2.0,Turbo Fan,121,SCHD,,Delta Air Lines Inc,0.0,1.0,1.0,143.0,IMC,Unknown,"an encounter with convective turbulence during descent.",03-06-2021,2.0
78123,20190222X84313,Incident,ENG19IA013,2019-02-21,"Orlando, FL",United States,282553N,0811830W,,,Non-Fatal,Unknown,Airplane,N30401,boeing,737,No,2.0,Turbo Fan,121,SCHD,,UNITED AIR LINES INC,0.0,0.0,0.0,181.0,Unk,Unknown,"A No. 1 (left) engine high pressure compressor stage 2 blade separation. The blade separated due to a mixed-mode fatigue crack that originated on a blade disk post and was initiated by a misaligned (out-of-schedule) high pressure compressor stage 1 variable stator vane that was missing a washer and retaining nut on the vane trunnion stem.

 

 

 
",26-09-2020,0.0
78223,20190401X22803,Accident,DCA19CA130,2019-03-28,"Nashville, TN",United States,036728N,0864041W,KBNA,Nashville International Airpor,,Substantial,Airplane,N249WN,boeing,737,No,2.0,Turbo Fan,121,SCHD,,Southwest Airlines,0.0,0.0,0.0,0.0,VMC,Unknown,a collision with a bird.,26-09-2020,0.0
78340,20190504X04947,Accident,DCA19MA143,2019-05-04,"Jacksonville, FL",United States,301354N,0813937W,NIP,JACKSONVILLE NAS (TOWERS FLD),Non-Fatal,Substantial,Airplane,N732MA,boeing,737,No,2.0,Turbo Fan,121,NSCH,,Miami Air International,0.0,1.0,0.0,142.0,IMC,Unknown,"An extreme loss of braking friction due to heavy rain and the water depth on the ungrooved runway, which resulted in viscous hydroplaning. Contributing to the accident was the operators inadequate guidance for evaluating runway braking conditions and conducting en route landing distance assessments. Contributing to the continuation of an unstabilized approach were 1) the captains plan continuation bias and increased workload due to the weather and performing check airman duties and 2) the first officers lack of experience.",04-08-2021,1.0
79270,20200109X21704,Accident,DCA20CA049,2020-01-08,"New York, NY",United States,404637N,0735226W,KLGA,LaGuardia Airport,Non-Fatal,Substantial,Airplane,N929NN,boeing,737,No,2.0,Turbo Fan,121,SCHD,,American Airlines,0.0,0.0,0.0,121.0,Unk,Unknown,failure of the deicing truck driver to maintain appropriate clearance from the airplane.,26-09-2020,0.0
79383,20200319X91719,Incident,DCA20WA094,2020-02-27,"Monterrey, Mexico",Mexico,,,,,,Unknown,Airplane,N379DA,boeing,737,No,2.0,Turbo Fan,121,,,Delta Air Lines,0.0,0.0,0.0,0.0,,Unknown,,26-09-2020,0.0
79771,20200814X53733,Incident,DCA20WA137,2020-07-19,"Palma, Spain",Spain,,,,,,Unknown,Airplane,EI-EFJ,boeing,737,No,2.0,Turbo Fan,NUSC,,,Ryanair,0.0,0.0,0.0,0.0,,Unknown,,26-09-2020,0.0
