,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date,total_injuries
821,20020917X01700,Accident,ATL82DA100,1982-04-12,"ALCOA, TN",United States,,,TYS,MCGHEE TYSON,Non-Fatal,Substantial,Helicopter,N3605B,s.n.i.a.s.,AS350D ASTAR,No,1.0,Turbo Shaft,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,1.0,2.0,VMC,Approach,Probable Cause,12-04-1983,1.0
822,20020917X02381,Accident,MIA82DA096,1982-04-12,"NEAR KISSIMMEE, FL",United States,,,,,Non-Fatal,Substantial,Helicopter,N9393F,hughes,269B,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,1.0,2.0,VMC,Cruise,Probable Cause,12-04-1983,1.0
827,20020917X02069,Accident,FTW82DA127,1982-04-13,WEST DELTA 105D,,,,,,Non-Fatal,Destroyed,Helicopter,N41AL,bell,206B,No,1.0,Turbo Shaft,Part 91: General Aviation,,Ferry,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,13-04-1983,1.0
833,20020917X02244,Accident,LAX82DVA14,1982-04-15,"CHOWCHILLA, CA",United States,,,,,Non-Fatal,Destroyed,Helicopter,N67156,hiller,UH-12E,No,1.0,Turbo Shaft,Part 137: Agricultural,UNK,Aerial Application,,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,15-04-1983,1.0
834,20020917X02217,Accident,LAX82DA135,1982-04-15,"STOCKTON, CA",United States,,,,,Non-Fatal,Destroyed,Helicopter,N2879B,bell,47G-2,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,15-04-1983,0.0
847,20020917X01653,Accident,ANC82FA035,1982-04-15,"NEAR SAVOONGA, AK",United States,,,,,Fatal(2),Substantial,Helicopter,N9367,sud,SA 318C,No,1.0,Turbo Shaft,Part 91: General Aviation,,Public Aircraft,,2.0,1.0,0.0,0.0,IMC,Cruise,Probable Cause,15-04-1983,3.0
848,20020917X01959,Accident,DEN82DA088,1982-04-15,"THAYNE, WY",United States,,,,,Non-Fatal,Substantial,Helicopter,N48089,aerospatiale,SA315B,No,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,15-04-1983,1.0
849,20020917X02105,Accident,FTW82FA132,1982-04-16,"HINTON, OK",United States,,,,,Fatal(3),Destroyed,Helicopter,N2152J,bell,222,No,2.0,Turbo Shaft,Part 91: General Aviation,,Business,,3.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,16-04-1983,3.0
863,20020917X02221,Accident,LAX82DA140,1982-04-17,"8 S. OF PAGE, AZ",United States,,,,,Fatal(3),Destroyed,Helicopter,N4EE,hughes,369HS,No,1.0,Turbo Shaft,Part 91: General Aviation,,Personal,,3.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,17-04-1983,4.0
865,20020917X02219,Accident,LAX82DA138,1982-04-17,"PERRIS, CA",United States,,,,PERRIS VALLEY,Non-Fatal,Destroyed,Helicopter,N9043E,robinson,R-22,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,17-04-1983,0.0
900,20020917X02608,Accident,SEA82DA055,1982-04-19,"DARRINGTON, WA",United States,,,,,Non-Fatal,Substantial,Helicopter,N9131F,hughes,500C,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,Anthony B. Reece,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,19-04-1983,0.0
905,20020917X01980,Accident,DEN82FTC03,1982-04-20,"BIG PINEY, WY",United States,,,,,Non-Fatal,Destroyed,Helicopter,N9007N,aerospatiale,SA315B,No,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,NSCH,Unknown,,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,20-04-1983,1.0
915,20020917X02418,Accident,MIA82FLD18,1982-04-21,"CROOM, FL",United States,,,,,Non-Fatal,Substantial,Helicopter,N15185,sikorsky,H-19A,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,21-04-1983,1.0
916,20020917X02388,Accident,MIA82DA105,1982-04-21,"VERO BEACH, FL",United States,,,VRB,VERO BEACH MUNICIPAL,Non-Fatal,Substantial,Helicopter,N9033B,robinson,R-22,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,21-04-1983,1.0
917,20020917X01866,Accident,CHI82DA129,1982-04-21,"LOWELL, MI",United States,,,24C,LOWELL CITY,Non-Fatal,Substantial,Helicopter,N8059F,hughes,269A,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,21-04-1983,1.0
921,20020917X02107,Accident,FTW82FA145,1982-04-22,"INTRACOASTAL CI, LA",United States,,,,,Fatal(2),Destroyed,Helicopter,N5752W,bell,212,No,2.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Rotor-aids, Inc.",2.0,1.0,0.0,9.0,IMC,Cruise,Probable Cause,22-04-1983,3.0
929,20020917X02084,Accident,FTW82DA144,1982-04-22,"CAMERON, LA",United States,,,,,Non-Fatal,Substantial,Helicopter,N2138Y,bell,206L-1,No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,22-04-1983,0.0
930,20020917X02609,Accident,SEA82DA057,1982-04-23,"CHRISTMAS VALLE, OR",United States,,,,,Non-Fatal,Minor,Helicopter,N62377,hiller-soloy,12E,No,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,0.0,1.0,0.0,1.0,VMC,Standing,Probable Cause,23-04-1983,1.0
945,20020917X02228,Accident,LAX82DA147,1982-04-24,"GOLD STRIKE, NV",United States,,,,,Fatal(1),Minor,Helicopter,N5768Z,s.n.i.a.s.,AS350,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Bauer Helicopter, Inc",1.0,0.0,0.0,5.0,VMC,Standing,Probable Cause,24-04-1983,1.0
956,20020917X02558,Accident,NYC82FHJ04B,1982-04-25,"NEW YORK, NY",United States,,,,34TH HELIPORT,Non-Fatal,Minor,Helicopter,N49575,bell,206L,No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,2.0,4.0,VMC,Standing,Probable Cause,25-04-1983,2.0
976,20020917X02558,Accident,NYC82FHJ04A,1982-04-25,"NEW YORK, NY",United States,,,,34TH HELIPORT,Non-Fatal,Substantial,Helicopter,N16696,bell,206L,No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,2.0,4.0,VMC,Standing,Probable Cause,25-04-1983,2.0
978,20020917X02229,Accident,LAX82DA148,1982-04-26,"HUNTINGTON BEAC, CA",United States,,,18L,PLATFORM EMMY,Non-Fatal,Substantial,Helicopter,N7950S,bell,206A,No,1.0,Turbo Shaft,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,26-04-1983,0.0
980,20020917X02088,Accident,FTW82DA150,1982-04-26,"HOUSTON, TX",United States,,,,CYPRESS (CLOSED),Non-Fatal,Substantial,Helicopter,N5784Y,aerospatiale,AS-350D,No,1.0,Turbo Shaft,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,26-04-1983,0.0
981,20020917X01956,Accident,DEN82DA072,1982-04-26,"GRANGER, WY",United States,,,,,Non-Fatal,Substantial,Helicopter,N629H,enstrom,280-C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,26-04-1983,0.0
983,20020917X02545,Accident,NYC82FA080,1982-04-27,"NEW RINGGOLD, PA",United States,,,,,Fatal(4),Destroyed,Helicopter,N1022H,mbb,BO-105C,No,2.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,4.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,27-04-1983,4.0
987,20020917X01753,Accident,ATL82FKQ12,1982-04-27,"MAGEE, MS",United States,,,,,Fatal(1),Destroyed,Helicopter,N8469E,bell/soloy,47G-3B,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,1.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,27-04-1983,2.0
992,20020917X01957,Accident,DEN82DA073,1982-04-27,"COALVILLE, UT",United States,,,,,Non-Fatal,Substantial,Helicopter,N8684F,hughes,369D (500D),No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,27-04-1983,2.0
997,20020917X02303,Accident,LAX82FUJ40,1982-04-28,"TEEC NOS POS, AZ",United States,,,,,Non-Fatal,Substantial,Helicopter,N1089S,hughes,369D,No,1.0,Turbo Shaft,Part 91: General Aviation,,Business,,0.0,1.0,2.0,0.0,VMC,Cruise,Probable Cause,28-04-1983,3.0
1001,20020917X01988,Accident,DEN82FTM11,1982-04-28,"VERMAL, UT",United States,,,SLC,VERMAL,Non-Fatal,Substantial,Helicopter,N48217,bell,47G-3B-1,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,3.0,0.0,0.0,VMC,Approach,Probable Cause,28-04-1983,3.0
1013,20020917X02546,Accident,NYC82FA083,1982-04-29,"NEW YORK CITY, NY",United States,,,,,Non-Fatal,Substantial,Helicopter,N16959,bell,206L,No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,6.0,VMC,Cruise,Probable Cause,29-04-1983,0.0
1024,20020917X04013,Accident,NYC82DHD11,1982-05-01,"NEW EGYPT, NJ",United States,,,,,Non-Fatal,Destroyed,Helicopter,N1002P,bell,47G,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,01-05-1983,1.0
1027,20020917X03517,Accident,LAX82DA154,1982-05-01,"NORTH LAS VEGAS, NV",United States,,,,,Non-Fatal,Destroyed,Helicopter,N9336F,hughes,269B,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,01-05-1983,1.0
1035,20020917X03781,Accident,MIA82FA115,1982-05-01,"FT. PIERCE, FL",United States,,,FPR,ST. LUCIE COUNTY,Non-Fatal,Substantial,Helicopter,N90249,robinson,R-22,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,01-05-1983,0.0
1045,20020917X03518,Accident,LAX82DA156,1982-05-01,"NORTH LAS VEGAS, NV",United States,,,,,Non-Fatal,Substantial,Helicopter,N90764,robinson,R-22HP,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,01-05-1983,1.0
1056,20020917X03904,Accident,NYC82DA087,1982-05-02,"NEW PALTZ, NY",United States,,,,,Non-Fatal,Substantial,Helicopter,N116S,hiller,UH-12A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,02-05-1983,0.0
