,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date,total_injuries
532,20020917X02572,Incident,NYC82IA051,1982-03-11,"FLUSHING, NY",United States,,,LGA,LAGUARDIA (R/W 22),Incident,Minor,Airplane,N26210,nord,262A-12,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Ransome Airlines, Inc",0.0,0.0,0.0,30.0,IMC,Climb,Probable Cause,11-03-1983,0.0
547,20020917X02196,Accident,LAX82DA105,1982-03-12,"CHINO, CA",United States,,,CNO,CHINO,Non-Fatal,Substantial,Airplane,N479CC,cessna,501,No,2.0,Turbo Jet,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,12-03-1983,0.0
558,20020917X02154,Accident,LAX82AA106A,1982-03-13,"GLENDALE, AZ",United States,,,LUF,,Fatal(6),Destroyed,Airplane,KC135,boeing,KC-135A,No,4.0,Turbo Jet,Unknown,UNK,Unknown,,6.0,0.0,0.0,0.0,UNK,Approach,Probable Cause,13-03-1983,6.0
568,20020917X01833,Accident,CHI82DA086,1982-03-13,"BRYAN, OH",United States,,,006,BRYAN-WILLIANS CO.,Non-Fatal,Substantial,Airplane,N707MA,beech,200,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,13-03-1983,0.0
623,20020917X02153,Incident,FTW82IA146,1982-03-20,"HOUSTON, TX",United States,,,IAH,HOUSTON INTERCONTINENTAL,Incident,Minor,Airplane,N87Y,rockwell,NA-265-80,No,2.0,Turbo Jet,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,IMC,Taxi,Probable Cause,20-03-1983,0.0
661,20020917X02057,Accident,FTW82DA114,1982-03-23,"CONROE, TX",United States,,,CXO,MONTGOMERY COUNTY,Non-Fatal,Substantial,Airplane,N9101F,rockwell,690A,No,2.0,Turbo Prop,Part 91: General Aviation,,Business,,0.0,0.0,0.0,3.0,IMC,Approach,Probable Cause,23-03-1983,0.0
663,20020917X01888,Accident,CHI82FA098,1982-03-23,"KALAMAZOO, MI",United States,,,AZO,KALAMAZOO,Non-Fatal,Substantial,Airplane,N6069C,beech,65-A90,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,23-03-1983,0.0
669,20020917X02279,Accident,LAX82FA119,1982-03-24,"MARANA, AZ",United States,,,MJC,MARANA AIRPARK,Non-Fatal,Substantial,Airplane,N752TA,boeing,707-123B,No,4.0,Turbo Jet,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,7.0,VMC,Landing,Probable Cause,24-03-1983,0.0
676,20020917X01989,Incident,DEN82IA049,1982-03-25,"DENVER, CO",United States,,,DEN,STAPLETON INT'L. AIRPORT,Incident,Unknown,Airplane,N857H,gulfstream,G159-C,No,2.0,Turbo Prop,Part 121: Air Carrier,SCHD,Unknown,U.s. Aviation,0.0,0.0,0.0,20.0,VMC,Approach,Probable Cause,25-03-1983,0.0
709,20020917X02101,Accident,FTW82FA108,1982-03-29,"HUGHES, AR",United States,,,,,Fatal(1),Destroyed,Airplane,N5957K,gulfstream,690C,No,2.0,Turbo Prop,Part 91: General Aviation,,Ferry,,1.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,29-03-1983,1.0
719,20020917X01901,Incident,CHI82IA108,1982-03-30,"CHICAGO, IL",United States,,,ORD,O'HARE INTERNATIONAL,Incident,Minor,Airplane,N62Z,swearingen,SA226TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Britt Airways, Inc.",0.0,0.0,0.0,18.0,VMC,Takeoff,Probable Cause,30-03-1983,0.0
737,20020917X01902,Incident,CHI82IA112,1982-04-02,"DETROIT, MI",United States,,,DTW,DETROIT METRO,Incident,Minor,Airplane,N23BX,rockwell,SABRELINER 65,No,2.0,Turbo Fan,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,8.0,VMC,Taxi,Probable Cause,02-04-1983,0.0
768,20020917X01855,Accident,CHI82DA115,1982-04-05,"FORT WAYNE, IN",United States,,,FWA,BAER FIELD,Non-Fatal,Substantial,Airplane,N639S,swearingen,SA226TC,No,2.0,Turbo Prop,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,2.0,IMC,Landing,Probable Cause,05-04-1983,0.0
785,20020917X01697,Accident,ATL82DA096,1982-04-07,"WINSTON-SALEM, NC",United States,,,INT,SMITH REYNOLDS,Non-Fatal,Substantial,Airplane,N7377,beech,65-A90,No,2.0,Turbo Prop,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,07-04-1983,0.0
786,20020917X02061,Accident,FTW82DA118,1982-04-07,"EDNA, TX",United States,,,6T4,FLYING SERVICE INC.,Non-Fatal,Substantial,Airplane,N36493,air,AT-400,No,1.0,Turbo Prop,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,07-04-1983,0.0
796,20020917X01904,Incident,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",United States,,,YNG,YOUNGSTOWN MUNICIPAL,Incident,Minor,Airplane,N7627U,boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,0.0,0.0,108.0,IMC,Landing,Probable Cause,09-04-1983,0.0
890,20020917X01774,Incident,ATL82IA109,1982-04-18,"ASHEVILLE, NC",United States,,,,ASHEVILLE AIRPORT,Incident,Minor,Airplane,N95WA,beech,BE-99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Wheeler Airlines,0.0,0.0,0.0,11.0,VMC,Takeoff,Probable Cause,18-04-1983,0.0
901,20020917X02079,Accident,FTW82DA139,1982-04-18,"AUSTIN, TX",United States,,,AUS,AUSTIN MUNI,Non-Fatal,Substantial,Airplane,N32717,boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Continental Airlines, Inc.",0.0,0.0,0.0,68.0,VMC,Landing,Probable Cause,18-04-1983,0.0
906,20020917X02479,Incident,MKC82IA059,1982-04-20,"ST. LOUIS, MO",United States,,,STL,LAMBERT-ST. LOUIS INTL,Incident,Minor,Airplane,N2N,rockwell,NA-265-65,No,2.0,Turbo Fan,Part 91F: Special Flt Ops.,UNK,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,20-04-1983,0.0
908,20020917X02421,Incident,MIA82IA102,1982-04-20,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Incident,Minor,Airplane,N333EA,lockheed,L-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Eastern Airlines, Inc.",0.0,0.0,0.0,152.0,VMC,Landing,Probable Cause,20-04-1983,0.0
912,20020917X01741,Accident,ATL82FA110,1982-04-20,"LAFAYETTE, GA",United States,,,,,Fatal(6),Destroyed,Airplane,N165MA,mitsubishi,MU-2B-30,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,6.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,20-04-1983,7.0
987,20020917X01744,Accident,ATL82FID07,1982-04-26,"HOT SPRINGS, VA",United States,,,HSP,INGALLS,Non-Fatal,Substantial,Airplane,N37990,beech,90,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,IMC,Landing,Probable Cause,26-04-1983,0.0
1072,20020917X03484,Accident,FTW82FRA20,1982-05-03,"ALVIN, TX",United States,,,,ALVIN,Non-Fatal,Destroyed,Airplane,N8456V,rockwell,S-2R,No,1.0,Turbo Prop,Part 137: Agricultural,UNK,Aerial Application,,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,03-05-1983,1.0
1083,20020917X03248,Accident,FTW82DA164,1982-05-04,"HOUSTON, TX",United States,,,,,Non-Fatal,Substantial,Airplane,N6746K,grumman,G-164B,No,1.0,Turbo Prop,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,04-05-1983,0.0
1087,20020917X03241,Accident,FTW82AA167,1982-05-05,"CHARLOTTE, TX",United States,,,,,Fatal(7),Destroyed,Airplane,N98949,beech,B90,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,7.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,05-05-1983,7.0
1093,20020917X03100,Accident,DCA82AA020,1982-05-06,"NEAR SAVANNAH, GA",United States,,,,,Fatal(4),Destroyed,Airplane,N100TA,gates,23,No,2.0,Turbo Jet,Part 91: General Aviation,,Business,,4.0,0.0,0.0,0.0,VMC,Descent,Probable Cause,06-05-1983,4.0
1162,20020917X03444,Accident,FTW82FA173,1982-05-12,"CARLSBAD, NM",United States,,,,CAVERN CITY,Fatal(2),Destroyed,Airplane,N9789S,gulfstream,980(695),Yes,2.0,Turbo Prop,Part 91: General Aviation,,Unknown,,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,12-05-1983,2.0
1164,20020917X03106,Incident,DCA82IA021,1982-05-12,"FT. MYER, FL",United States,,,,,Incident,Unknown,Airplane,N721J,gates,24B,No,2.0,Turbo Jet,Part 91: General Aviation,,Business,,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,01-02-2016,0.0
1216,20020917X03101,Accident,DCA82AA022,1982-05-16,"HOOPER BAY, AK",United States,,,HPB,HOOPER BAY,Non-Fatal,Destroyed,Airplane,N103AQ,de,DHC-6-200,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Gifford Aviation,0.0,8.0,0.0,0.0,VMC,Approach,Probable Cause,16-05-1983,8.0
1245,20020917X03528,Accident,LAX82DA177,1982-05-17,"FRESNO, CA",United States,,,FAT,FRESNO AIR TERMINAL,Non-Fatal,Substantial,Airplane,N711AH,swearingen,SA26-T,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,17-05-1983,0.0
1250,20020917X03236,Incident,DEN82IA090,1982-05-18,"GILLETTE, WY",United States,,,GCC,GILLETTE-CAMPBELL COUNTY,Incident,Minor,Airplane,N114GA,gulfstream,G-159C,No,2.0,Turbo Prop,Part 121: Air Carrier,SCHD,Unknown,"U.s. Aviation, Inc./air U.s.,",0.0,0.0,0.0,21.0,VMC,Landing,Probable Cause,18-05-1983,0.0
1283,20020917X03096,Incident,CHI82IA179,1982-05-21,"DAYTON, OH",United States,,,DAY,COX INTERNATIONAL,Incident,Unknown,Airplane,N1124J,bac,1-11-204AF,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Unknown,U.s. Air,0.0,0.0,0.0,48.0,IMC,Landing,Probable Cause,21-05-1983,0.0
1295,20020917X02737,Accident,ATL82DA142,1982-05-22,"MEMPHIS, TN",United States,,,MEM,MEMPHIS INTERNATIONAL,Non-Fatal,Unknown,Airplane,N9356,douglas,DC-9-15F,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Unknown,"Republic Airlines, Inc.",0.0,1.0,0.0,56.0,VMC,Descent,Probable Cause,22-05-1983,1.0
1343,20020917X03653,Accident,LAX82FA195,1982-05-26,"SAN FRANCISCO, CA",United States,,,SFO,SAN FRANCISCO,Non-Fatal,Substantial,Airplane,N1833U,douglas,DC10-10,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,0.0,25.0,113.0,VMC,Taxi,Probable Cause,26-05-1983,25.0
1347,20020917X03237,Incident,DEN82IA098,1982-05-27,"NEAR GOSHEN, IN",United States,,,,,Incident,Unknown,Airplane,N8088U,douglas,DC-8-61,No,4.0,Turbo Jet,Part 121: Air Carrier,SCHD,Unknown,United Airlines Inc.,0.0,0.0,17.0,129.0,VMC,Cruise,Probable Cause,27-05-1983,17.0
1360,20020917X03629,Accident,LAX82DUG12,1982-05-28,"PALM SPRINGS, CA",United States,,,PSP,PALM SPRINGS,Non-Fatal,Minor,Airplane,N1009R,swearingen,SA226-TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Sunaire,0.0,1.0,0.0,5.0,VMC,Standing,Probable Cause,28-05-1983,1.0
1362,20020917X03511,Incident,FTW82IA209,1982-05-28,"LAKE CHARLES, LA",United States,,,,,Incident,Minor,Airplane,N222SA,piper,PA-31P-135,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,28-05-1983,0.0
1390,20020917X04018,Accident,NYC82FA110,1982-05-29,ATLANTIC OCEAN,ATLANTIC OCEAN,,,,,Non-Fatal,Unknown,Airplane,N801EV,douglas,DC8-52,No,4.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Northeastern Int'l. Airways,0.0,1.0,1.0,109.0,VMC,Cruise,Probable Cause,29-05-1983,2.0
1451,20020917X03873,Accident,MKC82FA095,1982-06-04,"WICHITA, KS",United States,,,3KM,COLONEL JAMES JABARA,Non-Fatal,Substantial,Airplane,N190BT,beech,65-90,Yes,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Midwest Piper Flight, Inc",0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,04-06-1983,0.0
1489,20020917X03815,Accident,MKC82DA099,1982-06-08,"TOPEKA, KS",United States,,,TOP,PHILLIP BILLARD,Non-Fatal,Unknown,Airplane,N981EE,cessna,500,No,2.0,Turbo Fan,Part 91: General Aviation,,Business,,0.0,1.0,0.0,1.0,VMC,Standing,Probable Cause,08-06-1983,1.0
1493,20020917X03238,Incident,DEN82IA103,1982-06-08,"GILLETTE, WY",United States,,,GCC,GILETTE-CAMPBELL COUNTY,Incident,Unknown,Airplane,N159AN,grumman,G-159C,No,2.0,Turbo Prop,Part 121: Air Carrier,SCHD,Unknown,"U.s. Aviation, Inc.",0.0,0.0,0.0,29.0,VMC,Landing,Probable Cause,08-06-1983,0.0
1521,20020917X03453,Accident,FTW82FPD14,1982-06-11,"ABILENE, TX",United States,,,,ABILENE,Non-Fatal,Substantial,Airplane,N5DM,learjet,23,No,2.0,Turbo Jet,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,8.0,VMC,Maneuvering,Probable Cause,11-06-1983,0.0
1581,20020917X02713,Incident,ANC82IA048,1982-06-16,"NEAR PORT HEIDE, AK",United States,,,,,Incident,Minor,Airplane,N525N,de,DHC-6-100,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Sea Airmotive, Inc.",0.0,0.0,0.0,10.0,VMC,Cruise,Probable Cause,16-06-1983,0.0
1764,20020917X03146,Accident,DEN82DA122,1982-06-30,"LAS ANIMAS, CO",United States,,,7V9,LAS ANIMAS CITY & COUNTY,Non-Fatal,Substantial,Airplane,N2745B,cessna,340,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,Colorado Corporate Charters,0.0,0.0,0.0,4.0,VMC,Approach,Probable Cause,30-06-1983,0.0
1833,20020917X04180,Incident,SEA82IA101,1982-07-05,"BOISE, ID",United States,,,BOI,BOISE AIR TERMINAL,Incident,Minor,Airplane,N919RW,douglas,DC-9-31,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Republic Airlines West, Inc.",0.0,0.0,0.0,84.0,VMC,Takeoff,Probable Cause,05-07-1983,0.0
1834,20020917X04065,Incident,NYC82IA137,1982-07-05,"FLUSHING, NY",United States,,,LGA,LAGUARDIA,Incident,Minor,Airplane,CGAAA,boeing,727-233,No,3.0,Turbo Fan,Part 129: Foreign,SCHD,,Air Canada,0.0,0.0,0.0,74.0,VMC,Climb,Probable Cause,04-12-2014,0.0
1932,20020917X03675,Accident,LAX82FA255,1982-07-13,"SCHELLVILLE, CA",United States,,,0Q3,SCHELLVILLE,Non-Fatal,Destroyed,Airplane,N27GP,mitsubishi,MU-2B,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,13-07-1983,1.0
