,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date
80,20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,,,CKB,BENEDUM,Incident,Minor,Airplane,N615KC,embraer,EMB-110P1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Aeromech Incorporated,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,12-01-1983
81,20020917X01750,Accident,ATL82FKQ09,1982-01-12,"ABERDEEN, MS",United States,,,,,Non-Fatal,Destroyed,Airplane,N7706,cessna,414,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,3.0,0.0,UNK,Descent,Probable Cause,12-01-1983
87,20020917X02575,Accident,SEA82DA017,1982-01-13,"SPOKANE, WA",United States,,,,GEIGER FIELD,Non-Fatal,Substantial,Airplane,N36PB,piper,PA-31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Richard Engstrom,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause,13-01-1983
93,20020917X02538,Accident,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,,,JFK,JOHN F. KENNEDY INT'L,Non-Fatal,Substantial,Airplane,N341PL,swearingen,SA 226-TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Pocono Airlines,0.0,1.0,2.0,12.0,VMC,Takeoff,Probable Cause,15-01-1983
94,20020917X01780,Accident,CHI82DA027,1982-01-15,"ANOKA, MN",United States,,,ANE,ANOKA COUNTY,Non-Fatal,Substantial,Airplane,N300JR,beech,C-45H,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,15-01-1983
101,20020917X02159,Accident,LAX82DA042,1982-01-17,"HONOLULU, HI",United States,,,,HONOLULU INTL,Non-Fatal,Destroyed,Airplane,N21DR,convair,440,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Island Airlines Hawaii Inc.,0.0,0.0,2.0,1.0,VMC,Takeoff,Probable Cause,17-01-1983
102,20020917X02142,Accident,FTW82FRG21,1982-01-17,"PORT MANSFIELD, TX",United States,,,T05,PORT MANSFIELD,Fatal(1),Destroyed,Airplane,N9181Y,piper,PA-31,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,17-01-1983
103,20020917X01967,Accident,DEN82FA020,1982-01-17,"DELTA, UT",United States,,,,,Non-Fatal,Destroyed,Airplane,N91TW,piper,PA-31T,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,3.0,0.0,VMC,Maneuvering,Probable Cause,17-01-1983
104,20020917X01721,Accident,ATL82FA035,1982-01-17,"PICAYUNE, MS",United States,,,PCU,PICAYUNE-PEARL RIVER CNTY,Fatal(2),Destroyed,Airplane,N654T,beech,F50,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,17-01-1983
118,20020917X01908,Accident,DCA82AA012A,1982-01-19,"ROCKPORT, TX",United States,,,RKP,ARANSAS COUNTY AIRPORT,Fatal(3),Destroyed,Airplane,N336SA,swearingen,SA226-T(B),No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,3.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,19-01-1983
119,20020917X01766,Incident,ATL82IA038,1982-01-19,"WASHINGTON, DC",United States,,,IAD,,Incident,Minor,Airplane,N9240N,de havilland,DHC-6-300,No,2.0,Turbo Prop,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,IMC,Descent,Probable Cause,19-01-1983
120,20020917X02490,Accident,NYC82DA026,1982-01-19,"SOMERSET, PA",United States,,,2G9,SOMERSET COUNTY,Non-Fatal,Substantial,Airplane,N8043J,piper,AEROSTAR 601P,No,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,19-01-1983
127,20020917X01806,Accident,CHI82DA056,1982-01-19,"NEAR LANSING, MI",United States,,,,,Non-Fatal,Substantial,Airplane,N4140G,cessna,340A,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,UNK,Cruise,Probable Cause,19-01-1983
129,20020917X02397,Accident,MIA82FA034,1982-01-19,"MIAMI, FL",United States,,,MIA,MIAMI INTL,Non-Fatal,Substantial,Airplane,HCBHS,canadair,CL-44D4,No,4.0,Turbo Prop,Part 129: Foreign,NSCH,Unknown,"Acroservicios Eduatorianos, C",0.0,0.0,0.0,6.0,VMC,Landing,Probable Cause,19-01-1983
131,20020917X02334,Incident,LAX82IA044,1982-01-20,"SAN JOSE, CA",United States,,,SJC,SAN JOSE MUNICIPAL,Incident,Minor,Airplane,N74HP,piper,PA-31-350,No,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,20-01-1983
132,20020917X02258,Accident,LAX82FA048,1982-01-20,"CHERRY VALLEY, CA",United States,,,,,Fatal(2),Destroyed,Airplane,N9395Q,beech,58,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,20-01-1983
134,20020917X01751,Accident,ATL82FKQ10,1982-01-20,"MCCOMB, MS",United States,,,,MCCOMB-PIKE COUNTY,Fatal(1),Destroyed,Airplane,N6242Y,piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,20-01-1983
139,20020917X02467,Accident,MKC82FA019,1982-01-21,"NORTH KANSAS CI, MO",United States,,,,,Fatal(1),Destroyed,Airplane,N4553Q,cessna,402A,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Springdale Air Service, Inc.",1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,21-01-1983
140,20020917X02399,Accident,MIA82FA037,1982-01-21,"15NM W. OPA LOC, FL",United States,,,X64,OPA LOCKA WEST,Non-Fatal,Destroyed,Airplane,N211TA,douglas,DC-3,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,21-01-1983
141,20020917X02295,Accident,LAX82FUJ25,1982-01-21,"BAGDAD, AZ",United States,,,E51,BAGDAD,Non-Fatal,Destroyed,Airplane,N40291,piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,1.0,2.0,0.0,IMC,Maneuvering,Probable Cause,21-01-1983
149,20020917X01767,Incident,ATL82IA041,1982-01-22,"LOUISVILLE, KY",United States,,,SDF,STANDIFORD FIELD,Incident,Unknown,Airplane,N18FE,dassault/sud,FALCON 20,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Federal Express Corporation,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,22-01-1983
155,20020917X01909,Accident,DCA82AA013,1982-01-23,"BOSTON, MA",United States,,,,BOSTON-LOGAN INTER'L,Fatal(2),Destroyed,Airplane,N113WA,mcdonnell douglas,DC-10-30,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"World Airways, Inc.",2.0,4.0,24.0,182.0,IMC,Landing,Probable Cause,23-01-1983
159,20020917X02400,Accident,MIA82FA038A,1982-01-23,"NEWPORT RICHEY, FL",United States,,,,,Non-Fatal,Substantial,Airplane,N32555,piper,PA-34-200T,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,23-01-1983
165,20020917X01990,Accident,FTW82AA046,1982-01-24,"LAREDO, TX",United States,,,LRD,LAREDO INTERNATIONAL,Fatal(7),Destroyed,Airplane,N4244Z,robertson,C-402B,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,7.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,24-01-1983
185,20020917X02579,Accident,SEA82DA021,1982-01-28,"SUNRIVER, OR",United States,,,OR35,SUNRIVER,Non-Fatal,Substantial,Airplane,N4604N,cessna,340A,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,28-01-1983
191,20020917X01768,Incident,ATL82IA042,1982-01-29,"ATLANTA, GA",United States,,,,,Incident,Unknown,Airplane,N1851S,beech,B200,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,29-01-1983
214,20020917X02480,Accident,NYC82AA028,1982-02-01,"GROTON, CT",United States,,,GON,GROTON-NEW LONDON,Non-Fatal,Destroyed,Airplane,N451C,beech,99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Pilgrim Airlines,0.0,5.0,2.0,0.0,IMC,Approach,Probable Cause,01-02-1983
221,20020917X01784,Accident,CHI82DA033,1982-02-01,"ANDERSON, IN",United States,,,AID,ANDERSON MUNICIPAL,Non-Fatal,Substantial,Airplane,N5400G,grumman,1159,No,2.0,Turbo Jet,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,01-02-1983
223,20020917X02539,Accident,NYC82FA029,1982-02-02,"NEWBURGH, NY",United States,,,SWF,STEWART,Fatal(1),Destroyed,Airplane,N62481,piper,PA-23-250,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Air Ventures, Inc.",1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,02-02-1983
229,20020917X01923,Accident,DEN82DA029,1982-02-03,"HAYDEN, CO",United States,,,HDN,YAMPA VALLEY,Non-Fatal,Destroyed,Airplane,N149JA,mitsubishi,MU2B-40,No,2.0,Turbo Prop,Part 91: General Aviation,,Business,,0.0,0.0,6.0,0.0,IMC,Landing,Probable Cause,03-02-1983
230,20020917X01910,Accident,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",United States,,,PHL,PHILADELPHIA INTL,Non-Fatal,Minor,Airplane,N1814U,mcdonnell-douglas,DC-10-10,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines Inc.,0.0,1.0,0.0,154.0,IMC,Takeoff,Probable Cause,03-02-1983
234,20020917X02555,Accident,NYC82FHD06,1982-02-03,"TOMS RIVER, NJ",United States,,,N44,ROBERT MILLER,Non-Fatal,Substantial,Airplane,N9759Q,ted smith,AEROSTAR 600,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,IMC,Approach,Probable Cause,03-02-1983
243,20020917X02415,Accident,MIA82FLD15,1982-02-06,"FT. PIERCE, FL",United States,,,,,Non-Fatal,Destroyed,Airplane,N747CE,piper,PA-31,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,2.0,0.0,0.0,IMC,Unknown,Probable Cause,06-02-1983
251,20020917X01788,Accident,CHI82DA037,1982-02-06,"BROWNSBURG, IN",United States,,,I01,BROWNSBURG,Non-Fatal,Substantial,Airplane,N93607,ercoupe,415-C,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,06-02-1983
279,20020917X01769,Incident,ATL82IA051,1982-02-09,"BIRMINGHAM, AL",United States,,,,BIRMINGHAM MUNI,Incident,Unknown,Airplane,N205SG,beech,200,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,10.0,IMC,Takeoff,Probable Cause,09-02-1983
280,20020917X02174,Accident,LAX82DA066,1982-02-09,"CARLSBAD, CA",United States,,,CRQ,CARLSBAD AIRPORT,Non-Fatal,Substantial,Airplane,N69DH,cessna,310R,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,09-02-1983
282,20020917X01743,Accident,ATL82FID06,1982-02-09,"NEWPORT NEWS, VA",United States,,,PHF,NEWPORT NEWS,Non-Fatal,Substantial,Airplane,N5218J,cessna,402B,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,IMC,Go-around,Probable Cause,09-02-1983
284,20020917X02416,Accident,MIA82FLD16,1982-02-10,"LAKE WALES, FL",United States,,,,LAKE WALES,Non-Fatal,Destroyed,Airplane,N5207J,cessna,310,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,2.0,0.0,0.0,VMC,Approach,Probable Cause,10-02-1983
285,20020917X02262,Accident,LAX82FA069,1982-02-10,"TWENTYNINE PALM, CA",United States,,,,,Fatal(2),Destroyed,Airplane,N200WJ,beech,95-C55,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,10-02-1983
287,20020917X01924,Accident,DEN82DA030,1982-02-10,"SPANISH FORK, UT",United States,,,,SPANISH FORK,Non-Fatal,Substantial,Airplane,N5439J,cessna,421B,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,10-02-1983
288,20020917X01725,Accident,ATL82FA052,1982-02-10,"JESSUP, GA",United States,,,,WAYNE COUNTY,Non-Fatal,Substantial,Airplane,N8299F,cessna,401,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,5.0,VMC,Cruise,Probable Cause,10-02-1983
290,20020917X02403,Accident,MIA82FA045,1982-02-11,"MIAMI, FL",United States,,,,,Fatal(2),Destroyed,Airplane,N24CC,cessna,421,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,11-02-1983
293,20020917X02136,Accident,FTW82FRA16,1982-02-11,"BRENHAM, TX",United States,,,,BRENHAM MUNICIPAL,Fatal(1),Substantial,Airplane,N6894L,piper,PA-60-602P,,2.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,30-10-2017
294,20020917X02571,Incident,NYC82IA036,1982-02-12,"JAMAICA, NY",United States,,,,,Incident,Unknown,Airplane,N80701,de havilland,DHC-6-100,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Newair Flight, Inc.",0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,12-02-1983
296,20020917X02345,Accident,MIA82DA046,1982-02-12,"FT. LAUDERDALE, FL",United States,,,FLL,FT. LAUDERDALE INTL,Non-Fatal,Substantial,Airplane,N1515V,howard aircraft corp.,500,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,12-02-1983
299,20020917X02267,Accident,LAX82FA074,1982-02-13,"NEAR SONOMA, CA",United States,,,,,Fatal(1),Destroyed,Airplane,N8455Y,piper,PA-34,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,13-02-1983
320,20020917X02336,Incident,LAX82IA075,1982-02-15,"ONTARIO, CA",United States,,,ONT,ONTARIO INTERNATIONAL,Incident,Minor,Airplane,N73717,boeing,B737-2H4,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Unknown,Aircal,0.0,0.0,0.0,119.0,IMC,Approach,Probable Cause,15-02-1983
321,20020917X02012,Accident,FTW82DA059,1982-02-15,"FARMERVILLE, LA",United States,,,,,Non-Fatal,Destroyed,Airplane,N6822T,cessna,310D,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,15-02-1983
322,20020917X01884,Accident,CHI82FA048,1982-02-15,"CORYDON, IN",United States,,,,,Fatal(1),Destroyed,Airplane,N1108P,piper,PA-23,No,2.0,Reciprocating,Part 91: General Aviation,,Ferry,,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,15-02-1983
332,20020917X01800,Accident,CHI82DA050,1982-02-15,"EAST SAINT LOUI, IL",United States,,,CPS,BI-STATE PARKS,Non-Fatal,Substantial,Airplane,N7511L,piper,PA-31-310,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Ira D. Farrington,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,15-02-1983
334,20020917X01727,Accident,ATL82FA055,1982-02-16,"SPRINGFIELD, KY",United States,,,6I2,LEBANON-SPRINGFIELD,Fatal(8),Destroyed,Airplane,N2517X,piper,PA-31T2,No,2.0,Turbo Prop,Part 91: General Aviation,,Business,,8.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,16-02-1983
335,20020917X01807,Accident,CHI82DA057,1982-02-16,"COLUMBUS, OH",United States,,,CMH,PORT COLUMBUS,Non-Fatal,Substantial,Airplane,N3DS,beech,90,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,IMC,Cruise,Probable Cause,16-02-1983
336,20020917X01911,Accident,DCA82AA015,1982-02-16,"KING SALMON, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N169RV,nihon,YS-11A,No,2.0,Turbo Prop,Part 121: Air Carrier,SCHD,Unknown,Reeve Aleutian,0.0,0.0,3.0,36.0,VMC,Approach,Probable Cause,16-02-1983
345,20020917X01968,Accident,DEN82FA034,1982-02-17,"MITCHELL, SD",United States,,,MHE,MITCHELL MUNICIPAL,Non-Fatal,Substantial,Airplane,N5799Y,piper,PA-23,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Four Lakes Aviation Corp,0.0,0.0,0.0,6.0,IMC,Approach,Probable Cause,17-02-1983
346,20020917X02630,Incident,SEA82IA029,1982-02-18,"BOISE, ID",United States,,,BOI,BOISE AIR TERMINAL,Incident,Minor,Airplane,N101RA,embraer,EMB-11OP1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Cascade Airways, Inc.",0.0,0.0,0.0,16.0,VMC,Takeoff,Probable Cause,18-02-1983
351,20020917X02151,Incident,FTW82IA062,1982-02-19,"HARLINGEN, TX",United States,,,HRL,HARLINGEN IND.AIR PARK,Incident,Unknown,Airplane,XAMEJ,boeing,B-727-200,No,3.0,Turbo Jet,Part 129: Foreign,SCHD,,Mexicana Airlines,0.0,0.0,0.0,83.0,IMC,Landing,Probable Cause,04-12-2014
352,20020917X02500,Accident,NYC82DA039,1982-02-19,"MOUNT POCONO, PA",United States,,,,POCONO MOUNTAINS MUNI,Non-Fatal,Substantial,Airplane,N8226A,piper,PA-44-180T,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,IMC,Descent,Probable Cause,19-02-1983
358,20020917X01808,Accident,CHI82DA058,1982-02-19,"ST. CHARLES, IL",United States,,,PTK,PONTIAC-OAKLAND,Non-Fatal,Substantial,Airplane,N1847X,beech,58,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,IMC,Approach,Probable Cause,19-02-1983
361,20020917X01885,Accident,CHI82FA059,1982-02-19,"OSHKOSH, WI",United States,,,OSH,WITTMAN,Non-Fatal,Substantial,Airplane,N6761H,cessna,404,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Priester Aviation Service,0.0,0.0,0.0,7.0,IMC,Landing,Probable Cause,19-02-1983
371,20020917X01811,Accident,CHI82DA062,1982-02-20,"HUNTINGTON, IN",United States,,,03C,HUNTINGTON MUNI,Non-Fatal,Substantial,Airplane,N291T,beech,56TC,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,20-02-1983
373,20020917X01629,Accident,ANC82DA020,1982-02-20,"N CAPE YAKATAGA, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N2845D,grumman,G-21A,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,20-02-1983
377,20020917X01912,Accident,DCA82AA016,1982-02-21,"PROVIDENCE, RI",United States,,,,,Fatal(1),Destroyed,Airplane,N127PM,de havilland,DHC-6,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Pilgrim Airlines,1.0,10.0,1.0,0.0,VMC,Cruise,Probable Cause,21-02-1983
386,20020917X01813,Accident,CHI82DA064,1982-02-21,"BLOOMINGTON, IN",United States,,,BMG,MONROE COUNTY,Non-Fatal,Substantial,Airplane,N378NE,fairchild hiller,227C,No,2.0,Turbo Prop,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,21-02-1983
390,20020917X02509,Accident,NYC82DA049,1982-02-22,"WESTERLY, RI",United States,,,WST,WESTERLY STATE,Non-Fatal,Substantial,Airplane,N5358J,cessna,421C,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,6.0,VMC,Cruise,Probable Cause,22-02-1983
396,20020917X01817,Accident,CHI82DA068,1982-02-22,"CLEVELAND, OH",United States,,,,CLEVELAND-HOPKINS INTL.,Non-Fatal,Substantial,Airplane,N8035J,piper,PA-60,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Air Continental Incorporated,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,22-02-1983
399,20020917X02446,Accident,MKC82DA041,1982-02-23,"CARROLL, IA",United States,,,CIN,ARTHUR N. NEU,Non-Fatal,Substantial,Airplane,N363VA,piper,PA-60/601P,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,3.0,IMC,Landing,Probable Cause,23-02-1983
404,20020917X02272,Accident,LAX82FA085,1982-02-24,"HURON, CA",United States,,,,,Fatal(1),Destroyed,Airplane,N491A,beech,BE-95-C55,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,24-02-1983
407,20020917X01898,Incident,CHI82IA072,1982-02-24,"CHICAGO, IL",United States,,,ORD,O'HARE,Incident,Unknown,Airplane,N192MA,swearingen,SA-227,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Midstate Airlines,0.0,0.0,0.0,12.0,VMC,Landing,Probable Cause,24-02-1983
409,20020917X02501,Accident,NYC82DA040,1982-02-24,"DOYLESTOWN, PA",United States,,,N88,DOYLESTOWN,Non-Fatal,Substantial,Airplane,N1EJ,cessna,310Q,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,24-02-1983
